price,mileage,mpg
9998,20491,52.3
10998,16310,50.4
17698,14557,41.5
11498,30917,51.4
12798,22153,74.3
8698,31743,55.4
19495,13673,47.9
9995,25776,65.7
10995,30923,74.3
13998,24504,64.2
11998,6568,62.8
8998,42960,61.4
16698,5117,54.3
8998,31736,53.3
7998,19212,65.7
12495,12426,65.7
7995,12872,57.7
21995,4111,50.4
16995,34690,60.1
11995,32168,65.7
19995,11312,47.9
8995,31559,65.7
8295,23000,57.7
14698,6442,54.3
10498,29590,57.7
14495,17030,57.7
8995,22493,60.1
15995,29600,67.3
10995,26500,58.9
19995,14000,44.8
8295,34783,61.4
7995,56655,67.3
19995,16000,47.9
9995,30753,78.5
13495,1030,47.9
12995,7817,55.4
12995,9781,60.1
12998,17241,54.3
10298,28309,58.9
10498,50599,65.7
11298,37880,74.3
10698,56888,60.1
15995,10500,60.1
6995,50800,44.1
13950,6700,58.9
10650,31800,65.7
7995,20700,54.3
11495,29900,74.3
16995,32858,54.3
11995,31593,65.7
10995,13791,51.4
20495,12034,47.9
19995,10923,67.3
19995,10171,38.2
10995,30923,74.3
18995,2291,52.3
11995,23469,51.4
16998,13626,60.1
7398,35180,54.3
11498,17708,58.9
13998,9957,58.9
16698,4542,60.1
9998,38358,78.5
12998,25878,67.3
9998,18325,44.8
12498,9338,60.1
14998,7133,58.9
10498,42002,60.1
16995,3700,38.2
15495,5600,60.1
9495,17288,65.7
5995,42996,70.6
7498,47566,56.5
11798,4262,65.7
10998,10125,65.7
14998,17028,46.3
8998,12753,54.3
13998,24895,67.3
17998,9066,41.5
18998,3292,40.3
9198,48130,45.6
14498,27513,54.3
14998,32511,41.5
8498,21888,54.3
13995,11130,58.9
18498,14441,41.5
13998,13401,60.1
12798,10567,58.9
14698,7872,58.9
7698,10641,57.7
12498,10222,54.3
9998,28519,62.8
13998,51772,60.1
9500,7350,57.7
8195,12231,47.9
21498,5354,31
17998,19525,41.5
14498,11922,54.3
9998,16984,68.9
7998,16070,54.3
10998,26648,61.4
10998,19140,62.8
9998,26399,74.3
5498,53545,54.3
9298,25491,65.7
7298,31359,65.7
8498,51656,74.3
17698,11221,54.3
14498,23356,60.1
12898,15267,53.3
7998,41294,74.4
12198,7993,49.6
9698,30207,53.3
8798,19815,65.7
14298,43717,54.3
15798,4534,58.9
10298,9148,65.7
4898,22609,57.7
10298,15510,74.3
9998,20347,65.7
16698,3044,39.2
8998,5233,54.3
8998,28359,60.1
12498,12244,51.4
12498,17918,65.7
34498,4623,43.5
9298,16770,44.8
10900,25459,60.1
9998,23913,53.3
12998,9901,65.7
10998,15006,51.4
15500,19593,41.5
16200,23027,58.9
10500,13580,64.2
13200,32000,67.3
18698,15365,60.1
16998,7924,80.7
9998,10721,65.7
9498,25939,53.3
17498,3265,58.9
15998,11045,41.5
17998,250,51.4
5698,44901,47.1
9998,22001,60.1
17298,4563,54.3
16998,12236,55.4
23998,7584,39.2
6498,41599,65.7
12498,10373,54.3
4998,79300,65.7
11498,12982,55.4
11298,24386,74.3
9298,18209,64.2
12998,9796,54.3
14498,9428,62.8
18498,30528,56.5
8498,41772,55.4
8298,15673,65.7
8498,47219,74.3
12998,16081,57.7
16998,10476,60.1
9998,16647,65.7
13698,41457,54.3
13998,4735,51.4
9498,24045,53.3
15984,6500,51.4
8489,60190,44.8
9995,27000,78.5
8498,32538,65.7
13498,36345,54.3
8998,43623,61.4
9998,58500,45.6
17498,15729,54.3
9998,7892,65.7
11990,24725,47.9
16899,7000,80.7
15984,3500,51.4
15984,4500,51.4
15984,4000,51.4
13998,4889,68.9
17994,20633,54.3
17489,47937,51.4
19899,28500,54.3
4699,85000,54.3
9949,23000,53.3
11498,9995,55.4
10898,12626,55.4
12998,7320,55.4
13498,23394,48.7
9998,12932,68.9
18998,22246,64.2
11798,5530,48.7
11798,4590,48.7
8498,28479,65.7
8998,67895,47.9
14799,6249,60.1
14799,8560,60.1
42489,3500,22.1
17498,9940,45.6
16498,4930,60.1
19698,12011,41.5
8498,23053,54.3
16998,17589,41.5
14998,7000,58.9
19999,3500,61.4
20999,5500,47.9
14998,7000,60.1
14998,7000,58.9
13998,5000,68.9
13898,33026,60.1
11498,8560,65.7
19698,16548,41.5
10498,49485,74.3
17498,14569,53.3
12498,60151,54.3
11498,9148,61.4
10998,13548,65.7
22998,7337,47.1
8498,6649,54.3
11998,7690,60.1
11898,3396,48.7
11498,15766,58.9
13298,7349,58.9
9698,36860,68.9
10498,59498,68.9
10998,17367,60.1
9598,14403,64.2
16998,20647,60.1
13498,13351,58.9
6998,34804,54.3
15498,38113,60.1
9949,27399,64.2
12998,2455,68.9
20799,52000,47.9
38489,3500,30.7
9489,35417,64.2
13949,11982,48.7
10990,28138,56.5
13489,34805,54.3
7994,64612,67.3
11489,19665,60.1
15699,17500,64.2
19998,4000,74.3
19489,5000,74.3
14998,7000,58.9
9199,26445,64.2
10489,26445,68.9
11489,2922,64.2
29998,3000,28.8
31498,6250,23.5
11999,6691,61.4
15990,9486,56.6
16998,8703,40.9
15489,5636,68.9
22489,8224,56.5
22489,4000,56.5
5998,55898,78.5
10998,28001,60.1
11498,36052,47.9
24999,42086,23.5
15298,34673,60.1
19498,22068,48.7
16998,19936,60.1
13998,4856,61.4
11298,1397,44.1
13398,21649,46.3
17798,10345,41.5
14998,14960,64.2
13998,35689,41.5
9189,31998,44.8
10399,7200,65.7
23899,27146,47.9
5330,66937,54.3
15985,5099,51.4
7485,11092,54.3
21999,6000,29.1
10850,23634,65.7
23250,9931,38.7
7999,22633,65.7
7999,9355,57.7
7999,78170,47.9
9699,13480,60.1
39998,5000,22.6
8500,15060,54.3
9998,18912,65.7
15995,6992,60.1
11495,17766,65.7
14698,8725,58.9
9998,6820,65.7
9498,29326,47.9
10698,11235,57.7
13499,38687,54.3
15999,15005,54.3
17299,14224,54.3
14198,20205,58.9
10898,13093,52.3
17298,1434,48.7
5998,44582,44.1
9998,55621,64.2
6998,21203,57.7
16698,24498,67.3
17298,3124,60.1
15498,31073,60.1
14298,6345,54.3
9998,26138,68.9
22998,593,47.9
11598,11654,61.4
10498,17532,65.7
8698,36124,44.8
17498,13558,41.5
12499,13000,67.3
9250,7812,47.9
16250,28113,67.3
9999,24130,52.3
10999,23973,60.1
18494,11858,38.2
13489,26799,48.7
6995,35084,65.7
11995,12080,65.7
10498,9621,65.7
11300,13300,60.1
11800,14024,62.8
10800,17668,60.1
8300,43121,65.7
18499,14682,41.5
6800,53500,56.5
17000,15513,45.6
8998,16701,78.5
5698,51892,54.3
8998,20648,44.8
14998,38206,54.3
18500,13692,54.3
19298,12287,39.2
10798,49989,47.9
15998,12699,60.1
7298,36700,65.7
10298,25013,53.3
10698,16505,65.7
13998,5887,58.9
8298,63508,53.3
8998,36087,74.3
11298,11117,55.4
10498,17197,64.2
8995,54000,53.3
7895,27541,65.7
18390,14682,41.5
7795,9662,57.7
10795,22727,60.1
18298,6269,74.3
7698,9708,70.6
17698,18075,54.3
16998,24885,54.3
12698,3074,55.4
10698,22141,78.5
9998,43938,45.6
14498,6038,54.3
8998,20277,65.7
11998,15297,68.9
14000,11426,58.9
16250,2951,52.3
9700,28186,65.7
9998,38629,42.8
10998,14161,64.2
15498,27716,56.5
5489,41144,68.9
18999,9695,54.3
8449,79125,47.9
8699,46040,61.4
10489,37972,68.9
12489,36394,64.2
13698,78636,64.2
18498,21167,67.3
7298,36140,74.4
9998,13861,60.1
17498,22439,54.3
18999,42500,51.4
9489,29500,52.3
20994,41000,48.7
11998,6484,68.9
6250,39223,54.3
5950,64327,76.4
10900,13338,74.3
11200,15121,58.9
9250,38541,60.1
10300,9542,65.7
13000,3629,49.6
7000,82616,74.3
9200,21261,65.7
24995,10023,54.3
8298,22919,65.7
9298,41697,68.9
16698,18697,60.1
23698,5003,70.6
20398,6233,74.3
9698,19884,65.7
17998,13734,39.2
13698,12232,58.9
9998,21243,60.1
7298,31107,54.3
5698,64292,67.3
8998,68055,53.3
12998,23200,65.7
12498,25800,64.2
20990,5100,31.7
29999,100,30.1
15489,5636,68.9
15998,4500,80.7
19999,3500,61.4
8489,61379,74.3
9490,3012,55.4
12490,11292,51.4
6490,19285,57.7
14790,33352,41.5
12498,17998,74.3
18998,11578,67.3
9598,29577,67.3
10498,27704,74.3
7998,19001,54.3
9998,39460,64.2
16250,13325,74.3
18450,14464,54.3
9950,19223,61.4
9950,906,43.5
9950,2520,43.5
9950,1196,43.5
8498,19429,65.7
5998,69078,57.7
9998,37560,53.3
9998,3155,61.4
16998,14206,60.1
16998,30393,61.4
11198,41711,53.3
14498,14316,80.7
7998,21456,54.3
9998,20682,65.7
17998,12027,74.3
6498,36727,70.6
19998,8757,28.8
8698,28670,64.2
10698,21041,78.5
13698,4223,54.3
13498,9007,58.9
8498,11457,54.3
6298,39944,54.3
11698,3578,48.7
13998,21167,54.3
8498,31976,47.9
13998,10149,57.7
14498,50364,56.5
11950,16678,58.9
11395,1394,55.4
15990,9486,56.6
10990,28138,56.5
18489,10351,54.3
9489,29500,52.3
9795,4162,78.5
15995,23237,60.1
18495,7959,38.2
11995,10553,74.3
9998,23112,65.7
14998,7953,60.1
8000,14422,54.3
18498,21183,61.4
7998,21446,54.3
12498,7941,58.9
8498,45256,60.1
5298,54545,65.7
9998,28761,60.1
7498,31343,55.4
15998,24896,60.1
16998,45854,41.5
8698,18775,54.3
15998,10386,49.6
8998,20507,54.3
9998,32384,51.4
10698,10786,55.4
20450,1196,38.2
11495,39254,68.9
9750,30157,68.9
18495,11859,54.3
14950,9693,57.7
17295,11723,64.2
16250,11027,74.3
4998,28322,57.7
8698,23833,65.7
11298,13775,65.7
10898,14050,60.1
11698,34088,47.9
5998,52565,55.4
9998,16517,47.9
19998,4605,61.4
14998,12078,58.9
6998,45460,60.1
10498,24963,44.8
12298,51103,39.2
9498,63863,54.3
11990,55145,52.3
7490,28842,65.7
13698,11060,58.9
10498,39539,60.1
10798,3652,44.8
15998,29667,60.1
8998,49080,74.3
9298,61787,60.1
10698,29886,64.2
17498,31098,54.3
13998,15860,54.3
14998,8263,60.1
8298,13118,65.7
9698,19256,65.7
7798,11085,54.3
13498,10150,58.9
9690,46176,74.3
16498,18506,67.3
11495,11476,65.7
8000,29681,44.8
11400,51581,57.7
8250,32994,64.2
10998,12320,58.9
12998,3956,53.3
6698,39002,65.7
15998,10087,64.2
6498,21284,54.3
12998,17307,74.3
18998,10222,41.5
8498,10801,54.3
6998,42477,54.3
9498,64718,45.6
11698,3484,48.7
19300,2958,70.6
16890,23365,41.5
9420,34214,74.3
15390,5341,60.1
15370,6736,60.1
9230,27412,74.3
6990,11203,57.7
15591,45400,67.3
12891,16156,54.3
10447,8337,54.3
8998,71854,53.3
5998,37058,55.4
11998,28497,74.3
4298,30658,57.7
7498,36462,60.1
7998,22125,47.9
9498,18154,60.1
19498,23270,54.3
13698,34332,54.3
11498,44123,52.3
20498,29326,47.9
16998,13737,64.2
8998,32492,74.3
18998,16312,67.3
13898,14698,58.9
13498,20388,58.9
11998,8966,65.7
8298,56282,67.3
11698,12124,64.2
14998,8389,60.1
17498,11022,51.4
17498,7359,74.3
16998,8657,74.3
10498,19534,68.9
15698,921,49.6
6998,48938,78.5
15498,7431,60.1
8498,31974,61.4
7998,17786,44.8
4698,52627,54.3
11998,10970,58.9
10998,32347,47.9
8998,51324,74.3
9298,6213,54.3
10998,27639,55.4
5298,64628,54.3
14498,16501,67.3
6798,37313,65.7
6998,33154,54.3
9798,13163,55.4
9798,17593,52.3
9698,13391,61.4
9498,31877,68.9
11798,13783,58.9
11698,18115,58.9
9998,34980,55.4
9698,30149,74.3
12698,9484,74.3
10498,18250,68.9
7798,15412,65.7
19798,4797,64.2
19998,2451,64.2
16498,23224,58.9
19998,6879,51.4
9298,45543,53.3
18298,2840,74.3
10998,10970,58.9
13498,8913,54.3
12698,14876,51.4
14998,3002,60.1
20998,5757,41.5
8998,12163,54.3
14998,5721,60.1
9998,27193,74.3
15998,11460,54.3
11298,66732,57.7
15998,16290,67.3
14498,32263,41.5
10998,16353,65.7
18998,11738,64.2
7498,23764,54.3
12998,41484,67.3
10798,20241,65.7
4198,45880,57.7
16998,6092,49.6
18998,11913,41.5
19498,19382,41.5
11698,10500,65.7
9498,24717,60.1
11498,6158,48.7
10998,2360,65.7
16998,19322,60.1
16998,18480,54.3
9298,52681,53.3
6998,29095,54.3
12698,7906,74.3
9498,22420,74.3
9798,18733,74.3
11298,23358,62.8
8998,34769,53.3
12998,16300,45.6
16798,15646,67.3
9998,17330,68.9
8198,23771,65.7
10698,6991,65.7
10698,11469,61.4
4998,54323,54.3
29998,20847,20.9
5998,62855,67.3
16498,2936,60.1
7498,41271,88.3
10498,24741,60.1
16298,10703,56.6
13298,11563,64.2
10498,29684,64.2
7298,20809,54.3
11998,10320,56.5
15498,14579,60.1
7798,12392,57.7
10698,7541,55.4
11498,6368,64.2
14698,10032,58.9
14698,8438,58.9
11498,27277,74.3
8998,19882,65.7
13998,6432,58.9
7498,55312,67.3
5998,51348,65.7
11998,29964,65.7
19498,9420,39.2
9591,21236,52.3
15450,5731,60.1
7991,53922,60.1
6150,31064,54.3
7542,9880,57.7
7324,27128,65.7
11498,59601,57.7
8998,11813,78.5
8998,30557,53.3
11498,25464,60.1
16498,13699,74.3
14798,12558,58.9
13798,9847,58.9
10998,14653,74.3
11298,2666,61.4
15998,9694,64.2
14998,7995,60.1
7498,48010,64.2
6498,33155,44.1
6998,49010,78.5
11798,15417,74.3
12998,9917,54.3
10998,16658,65.7
10498,28732,61.4
13498,12619,51.4
12998,17096,58.9
10298,23309,55.4
12698,7942,56.5
16498,24956,54.3
6998,15268,54.3
11698,14337,58.9
13998,17218,58.9
16798,18215,41.5
11998,9501,58.9
13498,10248,58.9
8498,47182,64.2
10998,19690,65.7
11998,8308,74.3
12698,13588,74.3
18998,2411,42.8
6798,30299,54.3
9698,37203,60.1
17498,11184,60.1
5998,50052,54.3
8498,6721,54.3
20498,10249,41.5
9598,20340,74.3
13898,7845,58.9
8298,32541,67.3
10298,34211,60.1
13998,9328,58.9
11798,15075,52.3
10598,11544,65.7
11998,10474,74.3
25498,4813,34.5
11998,14358,58.9
13998,7512,58.9
17298,16346,41.5
7498,34362,54.3
11798,12286,58.9
11798,14068,58.9
10698,14523,65.7
6298,37966,56.5
6998,76588,74.3
7698,40480,65.7
10698,23494,62.8
9998,8608,55.4
16498,33758,56.5
15500,30878,60.1
7900,26000,44.8
10998,22410,56.5
7498,25506,65.7
10498,22788,65.7
10998,21955,56.5
14998,8783,55.4
5998,43539,54.3
10420,18913,60.1
17630,25526,41.5
6698,27783,76.4
16998,19170,60.1
6495,54249,54.3
18995,4274,37.2
9498,65151,54.3
6498,45536,62.8
11998,18978,74.3
11498,14132,58.9
9498,59114,47.9
6999,11504,57.7
6950,27098,54.3
7995,31146,64.2
7695,12868,54.3
11795,32356,64.2
5698,52395,54.3
6698,45067,65.7
7998,21715,54.3
7998,5668,57.7
15998,26663,54.3
9498,35850,61.4
6498,39167,65.7
8998,61270,54.3
7798,35901,44.1
10698,64351,62.8
8498,21302,54.3
9798,39432,53.3
6498,46857,54.3
7998,6276,57.7
8798,50216,53.3
15798,27532,67.3
9698,11783,64.2
14000,12090,58.9
13998,18980,52.3
11250,15634,60.1
8326,25604,65.7
6672,29123,54.3
7800,3194,57.7
9000,19130,61.4
12993,19135,57.7
8742,38275,52.3
6477,41250,56.5
20998,100,35.3
10298,18016,65.7
8498,14110,54.3
9000,52180,60.1
18300,12587,35.3
18700,7536,54.3
7800,29543,54.3
8150,9763,57.7
12700,17299,61.4
9300,11474,64.2
7100,17750,57.7
9798,39763,74.3
9498,15750,44.8
8998,13684,54.3
10798,22904,74.3
10498,35853,64.2
8998,36488,62.8
9998,65249,57.7
17870,6618,45.6
16640,7864,60.1
20991,910,50.4
9491,19272,64.2
10700,28313,60.1
10550,4723,55.4
11000,11817,60.1
18391,12821,50.4
9157,14330,65.7
10930,6471,61.4
8000,20901,54.3
10950,14415,65.7
5200,50501,65.7
13400,8271,60.1
8000,6334,57.7
9350,10228,64.2
8500,17812,54.3
11500,72085,67.3
9650,29163,65.7
16750,32879,54.3
16998,15888,60.1
7498,33631,54.3
10498,7654,55.4
9698,21169,53.3
13998,28126,54.3
10498,22125,65.7
8798,47577,74.3
11698,17750,74.3
12998,15448,57.7
13998,16879,58.9
12500,33095,65.7
11700,18524,60.1
12500,33268,65.7
9500,21857,64.2
10000,21763,65.7
11450,23319,60.1
7500,10282,57.7
11450,24521,60.1
18000,5,55.4
7700,7062,57.7
11800,17312,60.1
7850,19810,54.3
18750,6157,54.3
9750,9576,64.2
12500,9963,54.3
11500,16093,65.7
10800,36050,60.1
11998,28989,64.2
17750,10785,34.4
17500,14154,38.2
13750,16025,54.3
10400,13275,60.1
15995,22894,64.2
9650,63348,53.3
8600,32408,65.7
13500,36638,67.3
11500,10051,60.1
11650,7680,60.1
7750,22499,57.7
9000,15378,65.7
11298,11806,65.7
5698,70745,60.1
5298,69323,76.4
6498,40491,47.9
13500,9374,64.2
11500,23239,65.7
10000,3914,47.9
12598,22162,57.7
9498,29901,74.3
16498,14645,60.1
10998,25642,65.7
9498,8552,54.3
10498,17685,74.3
12998,6318,45.6
16498,5955,51.4
18498,6096,64.2
10498,26029,74.3
8500,27400,53.3
11500,12061,78.5
11450,15220,65.7
12850,19225,54.3
25500,3011,34.5
25500,6338,34.5
9000,36565,74.3
12000,28676,60.1
10250,23256,51.4
9000,19869,78.5
9998,28761,74.3
12198,25966,64.2
12298,33749,60.1
6498,34744,55.4
14000,43000,41.5
7000,65000,88.3
4950,25300,57.7
10500,37920,74.3
13650,13485,57.7
10850,12946,65.7
9650,15237,64.2
9950,9649,64.2
10000,27843,65.7
6776,35490,67.3
7480,62595,74.3
8310,18680,54.3
7625,13404,57.7
4430,28883,57.7
8498,20447,54.3
12698,1370,54.3
13998,12024,58.9
11498,15378,61.4
7698,43361,60.1
9000,9592,64.2
9000,10945,64.2
10450,9000,64.2
10450,20000,65.7
10000,8932,65.7
10000,19496,65.7
10650,11451,65.7
15000,18454,54.3
10000,12068,65.7
8850,16913,54.3
10998,13303,44.8
17998,2676,64.2
8698,24917,57.7
7698,8487,54.3
9998,24242,65.7
13998,21511,64.2
7998,29044,44.1
11298,14604,74.3
15298,12779,48.7
19298,11251,39.2
13495,14000,88.3
13995,58402,60.1
14995,67318,56.5
14995,50565,56.5
16995,4401,45.6
18495,9447,54.3
15495,72189,56.5
10495,34463,55.4
38015,197,74.3
13995,55121,54.3
16998,3713,54.3
8698,9734,65.7
10498,8163,55.4
7298,33349,54.3
9498,62232,60.1
14498,37886,67.3
10998,13888,68.9
10798,19318,64.2
16498,25595,43.5
16998,25129,67.3
14998,12757,56.6
12498,17367,58.9
15995,22947,67.3
7995,18250,54.3
16700,22704,44.8
7430,12370,54.3
6999,27425,54.3
5999,41675,58.9
9999,45971,68.9
7713,12370,54.3
9247,26199,68.9
13190,31181,60.1
11810,17330,51.4
10600,2179,47.9
10440,1524,47.9
10460,1161,47.9
10260,20926,65.7
9650,42581,68.9
15891,21651,45.6
13691,9055,78.5
9870,23699,60.1
9020,29535,65.7
12320,28866,54.3
8990,7872,65.7
11991,23445,74.3
5491,60259,54.3
9210,28720,65.7
10491,19980,65.7
20627,7743,52.3
10850,14669,58.9
7500,8879,57.7
9790,34006,74.3
7450,11690,57.7
3691,33735,57.7
10980,28523,68.9
14021,5489,48.7
16700,7732,60.1
12790,31959,48.7
8095,7933,57.7
18797,5946,41.5
8000,45566,74.3
8640,17782,54.3
8830,32123,55.4
6250,40946,65.7
7495,28805,54.3
13498,18744,74.3
17998,41269,44.8
10991,25899,60.1
12991,15623,57.7
12991,13505,58.9
15980,2489,55.4
13991,27492,58.9
9791,28000,52.3
11291,12857,51.4
7830,34567,65.7
7180,44583,74.3
18491,18523,41.5
10760,12849,58.9
11030,20271,65.7
10870,19733,65.7
11290,9928,60.1
9221,59292,68.9
9791,37561,64.2
10291,12812,68.9
8991,49633,64.2
6691,33391,54.3
17491,20000,54.3
15298,62505,46.3
10998,31953,74.3
7998,20777,54.3
12498,13920,45.6
8498,39271,88.3
9498,35003,42.8
16998,18787,45.6
16495,33770,41.5
14160,10109,58.9
14300,9713,58.9
6700,62445,61.4
10120,3665,64.2
8800,46730,65.7
7580,32356,65.7
7860,23079,47.9
11880,2435,61.4
7191,63780,67.3
6250,38906,54.3
7720,55417,61.4
19700,8022,41.5
7691,24755,65.7
7820,39000,74.3
10491,13326,65.7
20991,5750,49.6
18691,151,38.2
7350,16756,57.7
14030,8000,54.3
9981,4399,64.2
9998,20125,65.7
9291,4191,47.9
8770,17974,54.3
6991,29012,54.3
9290,20286,65.7
12990,11814,57.7
10490,22345,58.9
11176,32038,64.2
11150,16709,60.1
11150,9919,65.7
11190,38410,74.3
11410,47548,64.2
18930,13965,41.5
9607,6596,64.2
14790,14487,48.7
9691,11881,43.5
19970,2075,50.4
7180,27520,54.3
10060,26629,56.5
9880,20860,65.7
10290,14696,58.9
12880,9018,58.9
10000,19383,52.3
8000,12418,57.7
10650,16946,60.1
11650,22344,51.4
13500,17653,54.3
9550,21791,44.8
14700,10000,54.3
6800,31611,57.7
11000,10802,65.7
11000,9000,65.7
13860,10175,58.9
15050,11559,58.9
15470,8724,60.1
15590,11110,60.1
15020,20300,60.1
16370,5206,48.7
17250,17500,62.8
15480,25894,41.5
7960,34620,65.7
15860,12853,74.3
13000,11233,60.1
7020,26445,65.7
16700,11968,41.5
8791,17459,47.1
12480,15284,45.6
13491,22976,68.9
12991,21188,64.2
9210,17592,52.3
10498,11421,65.7
6998,30383,54.3
14498,13218,80.7
9998,23348,62.8
16998,15608,60.1
13998,9500,56.5
10500,18266,65.7
16500,8666,58.9
14280,15331,54.3
8698,62637,53.3
15998,5846,52.3
7498,25123,54.3
11298,5796,62.8
16998,6641,64.2
14998,9054,67.3
7698,25858,65.7
9698,14708,74.3
8998,25918,68.9
8698,16353,65.7
11298,17530,74.3
19698,95,54.3
9998,17265,65.7
10200,11743,64.2
16998,16018,41.5
14998,77137,48.7
8640,21763,54.3
8367,36300,55.4
17530,7648,47.9
16920,4596,61.4
13691,12603,58.9
11750,8556,60.1
12250,8000,65.7
8200,7616,57.7
10500,28244,74.3
8500,19116,54.3
11000,8468,65.7
10400,18515,65.7
14250,24038,60.1
13000,42678,62.8
8700,20785,65.7
17498,8800,54.3
17998,34034,56.5
9998,14010,65.7
9698,62703,68.9
14498,22628,38.2
11498,9923,58.9
9698,13479,55.4
10498,17650,61.4
7498,51402,55.4
16798,1711,51.4
7998,69312,74.3
11698,8111,61.4
5498,67133,67.3
8998,14188,54.3
14998,39193,67.3
5998,33830,54.3
10498,21114,52.3
15498,37989,41.5
9698,29714,78.5
8298,49173,74.3
16298,25623,60.1
7998,29331,83.1
7998,26295,65.7
8498,26052,54.3
10298,17672,65.7
15998,19872,44.8
13498,12495,54.3
5998,28514,54.3
7298,33524,78.5
14998,15707,64.2
16937,18651,74.3
16491,18512,74.3
19000,7124,60.1
19050,4637,60.1
12998,16733,64.2
10998,25169,56.5
8498,20253,54.3
10998,10829,65.7
13298,15320,60.1
14798,12848,50.4
12998,37976,54.3
8798,26546,65.7
11698,10194,64.2
16040,1891,58.9
7591,27546,54.3
11691,13159,61.4
17050,3891,74.3
9998,33254,62.8
18998,11339,67.3
7998,46010,67.3
5298,52950,54.3
8698,38830,65.7
8798,63921,39.2
15298,16480,67.3
11998,25950,74.3
20698,17381,47.9
17998,12584,65.7
10698,17020,55.4
10710,12874,54.3
11591,7612,61.4
7570,14604,57.7
11460,21742,61.4
8940,6310,64.2
12460,22907,54.3
10620,18385,74.3
6680,39123,76.4
11140,15295,55.4
12720,33503,54.3
16298,14057,49.6
19680,15241,47.9
8591,13319,48.7
14490,6384,58.9
14530,4398,58.9
14590,3648,58.9
6570,33026,54.3
8990,34998,74.3
12240,15540,46.3
22250,7721,48.7
8791,34617,64.2
8080,57894,74.3
8240,30152,62.8
14891,14115,74.3
13120,1327,48.7
17390,3392,60.1
19070,4165,60.1
17380,4052,60.1
17490,944,60.1
8559,55601,74.3
6391,43904,54.3
10917,8323,54.3
16800,4586,51.4
19491,3114,47.9
19557,24271,48.7
8291,23080,54.3
14691,16364,57.7
9790,5588,43.5
16090,13696,62.8
10210,5146,65.7
8770,7340,64.2
12460,5759,54.3
13210,10945,64.2
11591,11055,60.1
8690,12696,48.7
15990,2339,53.3
7491,18084,57.7
10291,8340,65.7
10700,22749,60.1
9998,88927,64.2
10100,10748,65.7
23965,3489,37.7
9891,24065,61.4
8191,8001,57.7
20991,891,50.4
18991,905,60.1
13991,18874,58.9
7891,12159,57.7
11200,11550,65.7
9491,60720,78.5
20156,4629,44.8
12000,18952,74.3
13838,26201,41.5
21948,26909,31.7
21228,22037,31.7
16591,2913,60.1
16491,898,60.1
18420,6479,57.6
17900,9504,57.7
17350,4539,61.4
17401,23995,47.9
9991,28351,74.3
15870,34145,52.3
16900,34314,56.5
6590,25737,54.3
8298,39632,55.4
8798,43101,74.3
7298,31387,54.3
8498,26276,65.7
14070,13106,47.9
10300,21117,60.1
10191,19068,65.7
18520,11958,41.5
8330,11531,57.7
8891,20226,74.4
16150,1952,48.7
17520,1987,60.1
17000,4920,80.7
17520,5000,60.1
17520,3214,60.1
6791,40206,54.3
9827,58837,60.1
7698,23576,65.7
14998,15389,64.2
11998,9177,62.8
19750,110,50.4
15750,52,54.3
9400,29264,53.3
16400,8664,60.1
23200,2017,37.7
17700,618,51.4
10250,5220,64.2
10800,17465,65.7
20498,17399,48.7
16998,21480,60.1
9298,19448,64.2
